,is_related,p1,p2
0,1,/Users/harish3110/Desktop/AIET/capstone_project/train/F0038/MID5,/Users/harish3110/Desktop/AIET/capstone_project/train/F0038/MID6
1,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0604/MID4,/Users/harish3110/Desktop/AIET/capstone_project/train/F0123/MID1
2,1,/Users/harish3110/Desktop/AIET/capstone_project/train/F0801/MID1,/Users/harish3110/Desktop/AIET/capstone_project/train/F0801/MID3
3,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0051/MID6,/Users/harish3110/Desktop/AIET/capstone_project/train/F0680/MID4
4,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0287/MID1,/Users/harish3110/Desktop/AIET/capstone_project/train/F0309/MID5
5,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0093/MID1,/Users/harish3110/Desktop/AIET/capstone_project/train/F0805/MID7
6,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0491/MID4,/Users/harish3110/Desktop/AIET/capstone_project/train/F0651/MID3
7,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0974/MID2,/Users/harish3110/Desktop/AIET/capstone_project/train/F0064/MID5
8,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0930/MID5,/Users/harish3110/Desktop/AIET/capstone_project/train/F0394/MID3
9,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0231/MID1,/Users/harish3110/Desktop/AIET/capstone_project/train/F0717/MID7
10,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0142/MID5,/Users/harish3110/Desktop/AIET/capstone_project/train/F0774/MID1
11,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0150/MID7,/Users/harish3110/Desktop/AIET/capstone_project/train/F0721/MID1
12,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0211/MID4,/Users/harish3110/Desktop/AIET/capstone_project/train/F0641/MID7
13,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0112/MID2,/Users/harish3110/Desktop/AIET/capstone_project/train/F0565/MID2
14,0,/Users/harish3110/Desktop/AIET/capstone_project/train/F0920/MID5,/Users/harish3110/Desktop/AIET/capstone_project/train/F0972/MID4
